source,category,title,date,summary,content,url
IDRW,Defence,"India, US discuss ways to boost ties in critical, emerging defence tech - Indian Defence Research Wing",2026-02-06,"<a href=""https://news.google.com/rss/articles/CBMikAFBVV95cUxPQzEwSF9ETUdUMUJNUS1iTlBsWXZ4NXpEb0ZPSC1JR3RXRThxYk5EY25tdmlEUjBuUEUzZXRuWkZXdXdCSmticXFZZWh3dDVBemJfLTI2NHVib25PMTQ0aTEwUUcwREhvVG1EYjJOMHA5bHJ0dE0zSHFPOExXaC1rb1RvQ3FweVdPc0Y2M3lQMlA?oc=5"" target=""_blank"">India, US discuss ways to boost ties in critical, emerging defence tech</a>&nbsp;&","<a href=""https://news.google.com/rss/articles/CBMikAFBVV95cUxPQzEwSF9ETUdUMUJNUS1iTlBsWXZ4NXpEb0ZPSC1JR3RXRThxYk5EY25tdmlEUjBuUEUzZXRuWkZXdXdCSmticXFZZWh3dDVBemJfLTI2NHVib25PMTQ0aTEwUUcwREhvVG1EYjJOMHA5bHJ0dE0zSHFPOExXaC1rb1RvQ3FweVdPc0Y2M3lQMlA?oc=5"" target=""_blank"">India, US discuss ways to boost ties in critical, emerging defence tech</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Indian Defence Research Wing</font>",https://news.google.com/rss/articles/CBMikAFBVV95cUxPQzEwSF9ETUdUMUJNUS1iTlBsWXZ4NXpEb0ZPSC1JR3RXRThxYk5EY25tdmlEUjBuUEUzZXRuWkZXdXdCSmticXFZZWh3dDVBemJfLTI2NHVib25PMTQ0aTEwUUcwREhvVG1EYjJOMHA5bHJ0dE0zSHFPOExXaC1rb1RvQ3FweVdPc0Y2M3lQMlA?oc=5
IDRW,Defence,India’s Aerospace “Screwdrivergiri” Debate: Why Licensed Production Is Dividing the Defence Community - Indian Defence Research Wing,2026-02-06,"<a href=""https://news.google.com/rss/articles/CBMitgFBVV95cUxOLWRxcHNKYXhqZl82VlduRnJobERsM2lGZ2lueGJkZWphcHg1UVZaU0xSNjV5bHhySmRKOUo4Q0EzZ0FlODdWNi1nckZHY01uQXdmT29STXB1Z0p2bmdrSmN3SVhNdko0d09UM25lOU1qYXo3U1N5cnFqM3hnOXdyVHFtZ3B5SFNHZHE3LUdfcERTakpCTF9hbTljemwtQmJtQ2k3SGJQLXVPQ0dSWXJkakdSSlQ2Zw?oc=5"" target=""_blank"">India’s Aerospace “Screwdriverg","<a href=""https://news.google.com/rss/articles/CBMitgFBVV95cUxOLWRxcHNKYXhqZl82VlduRnJobERsM2lGZ2lueGJkZWphcHg1UVZaU0xSNjV5bHhySmRKOUo4Q0EzZ0FlODdWNi1nckZHY01uQXdmT29STXB1Z0p2bmdrSmN3SVhNdko0d09UM25lOU1qYXo3U1N5cnFqM3hnOXdyVHFtZ3B5SFNHZHE3LUdfcERTakpCTF9hbTljemwtQmJtQ2k3SGJQLXVPQ0dSWXJkakdSSlQ2Zw?oc=5"" target=""_blank"">India’s Aerospace “Screwdrivergiri” Debate: Why Licensed Production Is Dividing the Defence Community</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Indian Defence Research Wing</font>",https://news.google.com/rss/articles/CBMitgFBVV95cUxOLWRxcHNKYXhqZl82VlduRnJobERsM2lGZ2lueGJkZWphcHg1UVZaU0xSNjV5bHhySmRKOUo4Q0EzZ0FlODdWNi1nckZHY01uQXdmT29STXB1Z0p2bmdrSmN3SVhNdko0d09UM25lOU1qYXo3U1N5cnFqM3hnOXdyVHFtZ3B5SFNHZHE3LUdfcERTakpCTF9hbTljemwtQmJtQ2k3SGJQLXVPQ0dSWXJkakdSSlQ2Zw?oc=5
IDRW,Defence,24th India-US Joint Technical Group Plenary held at DRDO HQs in New Delhi to advance cooperation in Defence Science & Technologies - Indian Defence Research Wing,2026-02-06,"<a href=""https://news.google.com/rss/articles/CBMi3wFBVV95cUxOUUZkUFd0b0lROGIyV1JvdjJIZUF5UW9rNVFBbUJVWTV2VjRFOFFULW85YW9hRHBIUkpCM2d4N0lZeHdyTkxPZEIybXd2SDhwZVd0ckp6aUc5emFxQ2NjZWZjdW00WFZjSVNHOFpBT1VQeVJsRkdFbERLMnFrN011bHp1dk1yNVZlQm1Ya3VRcEl3SkdWQm5nNnRJWS0xSUtzd0JDTVY5S2dzSWtIRlBUc1E3WHEtemlmVjVRelZ2OTFXU2NlaXlfSlRsdlZjVEZwRnNUODM1SmtpbzRNNDVr","<a href=""https://news.google.com/rss/articles/CBMi3wFBVV95cUxOUUZkUFd0b0lROGIyV1JvdjJIZUF5UW9rNVFBbUJVWTV2VjRFOFFULW85YW9hRHBIUkpCM2d4N0lZeHdyTkxPZEIybXd2SDhwZVd0ckp6aUc5emFxQ2NjZWZjdW00WFZjSVNHOFpBT1VQeVJsRkdFbERLMnFrN011bHp1dk1yNVZlQm1Ya3VRcEl3SkdWQm5nNnRJWS0xSUtzd0JDTVY5S2dzSWtIRlBUc1E3WHEtemlmVjVRelZ2OTFXU2NlaXlfSlRsdlZjVEZwRnNUODM1SmtpbzRNNDVr?oc=5"" target=""_blank"">24th India-US Joint Technical Group Plenary held at DRDO HQs in New Delhi to advance cooperation in Defence Science & Technologies</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Indian Defence Research Wing</font>",https://news.google.com/rss/articles/CBMi3wFBVV95cUxOUUZkUFd0b0lROGIyV1JvdjJIZUF5UW9rNVFBbUJVWTV2VjRFOFFULW85YW9hRHBIUkpCM2d4N0lZeHdyTkxPZEIybXd2SDhwZVd0ckp6aUc5emFxQ2NjZWZjdW00WFZjSVNHOFpBT1VQeVJsRkdFbERLMnFrN011bHp1dk1yNVZlQm1Ya3VRcEl3SkdWQm5nNnRJWS0xSUtzd0JDTVY5S2dzSWtIRlBUc1E3WHEtemlmVjVRelZ2OTFXU2NlaXlfSlRsdlZjVEZwRnNUODM1SmtpbzRNNDVr?oc=5
IDRW,Defence,"After WhAP Success, Tata Pushes LAMV into Morocco as India’s Defence Footprint Grows Abroad - Indian Defence Research Wing",2026-02-06,"<a href=""https://news.google.com/rss/articles/CBMiqwFBVV95cUxPU3JQcm5wU0VpRTVPZEFzWTdsMWozcU9ISzZhTnR3MWlvWXVJVWg4QWd2WXlCdTlWVXBMNjZWV0JHZnZrR1ZVSFRNNXBYdW9iLXBodk5TcWRwQS1DX2xZbFRjLTFqeVN1SUxFam8zS19ycHVWM1RReDN0QkthTF9wODVObXpKWnlVTHFLTTZuNE0tMkw4OW9QakdMaHhtdmdCSWlXb2wwaWl2b0E?oc=5"" target=""_blank"">After WhAP Success, Tata Pushes LAMV into Moro","<a href=""https://news.google.com/rss/articles/CBMiqwFBVV95cUxPU3JQcm5wU0VpRTVPZEFzWTdsMWozcU9ISzZhTnR3MWlvWXVJVWg4QWd2WXlCdTlWVXBMNjZWV0JHZnZrR1ZVSFRNNXBYdW9iLXBodk5TcWRwQS1DX2xZbFRjLTFqeVN1SUxFam8zS19ycHVWM1RReDN0QkthTF9wODVObXpKWnlVTHFLTTZuNE0tMkw4OW9QakdMaHhtdmdCSWlXb2wwaWl2b0E?oc=5"" target=""_blank"">After WhAP Success, Tata Pushes LAMV into Morocco as India’s Defence Footprint Grows Abroad</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Indian Defence Research Wing</font>",https://news.google.com/rss/articles/CBMiqwFBVV95cUxPU3JQcm5wU0VpRTVPZEFzWTdsMWozcU9ISzZhTnR3MWlvWXVJVWg4QWd2WXlCdTlWVXBMNjZWV0JHZnZrR1ZVSFRNNXBYdW9iLXBodk5TcWRwQS1DX2xZbFRjLTFqeVN1SUxFam8zS19ycHVWM1RReDN0QkthTF9wODVObXpKWnlVTHFLTTZuNE0tMkw4OW9QakdMaHhtdmdCSWlXb2wwaWl2b0E?oc=5
IDRW,Defence,RRM to Lead the Indian Delegation to Saudi Arabia Participating in the 3rd World Defence Show 2026 - Indian Defence Research Wing,2026-02-06,"<a href=""https://news.google.com/rss/articles/CBMitwFBVV95cUxNb0hSUWlaT2RLU2FTMVFackdUaGJ0RFBxQURURHJTRE9fNXQ3d3gwa1dJeFMtLVl6OERDdjdzTmYtUjY5SVcxNHFSYjJ5SFc5NW1xb2FwbTl2WWR4NGdCbHRmRV84UFVTdWdFSEV2b183WXBCWjY4ZkFrbEdPamhXcnFMZzM3ejVtZXB5eXVQRzlvOFAwQU5HMUR1QmtQd2JmSmxYdUNyYjFtQnJjWXNKZmp0NnQwRTA?oc=5"" target=""_blank"">RRM to Lead the Indian Delegat","<a href=""https://news.google.com/rss/articles/CBMitwFBVV95cUxNb0hSUWlaT2RLU2FTMVFackdUaGJ0RFBxQURURHJTRE9fNXQ3d3gwa1dJeFMtLVl6OERDdjdzTmYtUjY5SVcxNHFSYjJ5SFc5NW1xb2FwbTl2WWR4NGdCbHRmRV84UFVTdWdFSEV2b183WXBCWjY4ZkFrbEdPamhXcnFMZzM3ejVtZXB5eXVQRzlvOFAwQU5HMUR1QmtQd2JmSmxYdUNyYjFtQnJjWXNKZmp0NnQwRTA?oc=5"" target=""_blank"">RRM to Lead the Indian Delegation to Saudi Arabia Participating in the 3rd World Defence Show 2026</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Indian Defence Research Wing</font>",https://news.google.com/rss/articles/CBMitwFBVV95cUxNb0hSUWlaT2RLU2FTMVFackdUaGJ0RFBxQURURHJTRE9fNXQ3d3gwa1dJeFMtLVl6OERDdjdzTmYtUjY5SVcxNHFSYjJ5SFc5NW1xb2FwbTl2WWR4NGdCbHRmRV84UFVTdWdFSEV2b183WXBCWjY4ZkFrbEdPamhXcnFMZzM3ejVtZXB5eXVQRzlvOFAwQU5HMUR1QmtQd2JmSmxYdUNyYjFtQnJjWXNKZmp0NnQwRTA?oc=5
The Hindu,Defence,"Engineers should evince interest in defence research, says NITI Aayog member",2026-02-06,"Engineers should evince interest in defence research, says NITI Aayog memberthehindu.com","Engineers should evince interest in defence research, says NITI Aayog memberthehindu.com",https://news.google.com/rss/articles/CBMi4wFBVV95cUxOVFJHeHFzeDFSUTRvMkNkemd6SHpWMnlkUTdJYzJ6SjdtSHdLRkpqajZJSDB6enZnVG1uTGx0TVhfWVRYTW9WendGNUdVZVlOWFotTFhiVFlKZVduLW5ONzNpRkRRdFJtTDdma3VUMGdSS002bmEyOGZwaGdiV3RSSmplMFItdEpmMUZLNEI5V2NBOEJ5MDYtNkVScjkyTXZSTVVacThZUmdQalUtVXVVQzFVY0ppYm9Wc2tyeHJ3UDZNdTR6d3NKQk13bmk5Q2xNTlZERXdqc1VaMlU2anRBelFxQdIB6gFBVV95cUxPM1FkYk9Ncmg4ZU16NjNXRkJqS29sS29rbnpsaVBmd1JKdVZ2TnJyMzV0alB3eFhhWEdnQUxCR3BLTEpVRy1ONENUT2ZQeHBwTTZLWmxxamMweURTWGV3T29QcXpNX0VidWd6TkQtT0dFS3dyVjlhLVF1eUhaN1RnWTRkOHJYcEU0Y1ZBOHlxSXUtT1FPWUx6Nkh1dnpiRkRGczFaR3BUMURQSVpTX0dTeU9oMTE5dVVUN1ZyWkZPWHRGM3NFZTB3NGVEV2VzMDBsY0h2LXhfak5mcHlZdXpjakpZRDdwc0NvNnc?oc=5
The Hindu,Defence,Mizoram MP says not being allowed to raise alleged defence land scam in Rajya Sabha,2026-02-06,Mizoram MP says not being allowed to raise alleged defence land scam in Rajya Sabhathehindu.com,Mizoram MP says not being allowed to raise alleged defence land scam in Rajya Sabhathehindu.com,https://news.google.com/rss/articles/CBMi5AFBVV95cUxPQW5LLWRRLWhtRk9YWHhrdnZhUGhBZTBXdUx6aGU0SXlJLTY1MnR1cEh1SXp1cE00dTUzOVVNZk1qNjdiZ2t6YkRTa2Q1azQ5Y29CcmJTVHdqa3A3YjczMFc3ZFFWYXp1UkdyaHZqSDVNYTF6OHhTb0ZtTzJXUmpTYjlpR2tpMXZkM1hxSVNIRlBYZHM4WjM2VWluaFBaSkVnWFlZX2RTZExnYUx3YmFoM3FtY1BkN2EtZkZTZmtfMWtoT3pUdW93YURwczNVUVhxQmE4ejlicTNrSzN0aE1OTWVLaVbSAesBQVVfeXFMTlhKdGVmd0lsUkJNelVJRTdUbEJWbDc0RWYwWU1ramxWOUl0SGFid2ZlNFp1OVNUcUxqbS1Ob3VhWlJRVmMzQzE2UzFXOGFENENYSWZfajUxTXBSUVFyWHlMZVFSUnoyVXU4NHBpLXpmS2htV3BKRnZGUDZpVVoxUnpWM2FRaHR4NG5MNlZNQS1XRjN1TTU2QXhzWVRoQ3J3VEhLWFg2MHZaZ1NEVGRUb1FPVDlGRHBCZWYzYmhTSVY3UG9jYTlZM1pscExXR0c1clZ2RjdzQ0I2b2hzeTFYWjhyQi1GNUphRGZIRQ?oc=5
MOD India,Defence,"Defence Secretary visits Forward Areas in Bhuj - witnesses Jointness, Infrastructure Development and Capability Building Initiatives - PIB",2026-02-05,"<a href=""https://news.google.com/rss/articles/CBMiaEFVX3lxTE5uRmgzbF8zVnhnQ2xxemF5T2lQWTlCRW52Um9HVjNTcFZHZ2xHc1ZDcjlUbWRmNXZfYWJXcXRBN1ZyVk1NMGlYMEZ3bmVSdDJFNkVBb3V3X0tYbXBqeXlITGZOTEpNaFN1?oc=5"" target=""_blank"">Defence Secretary visits Forward Areas in Bhuj - witnesses Jointness, Infrastructure Development and Capability Building Initiatives</a>&","<a href=""https://news.google.com/rss/articles/CBMiaEFVX3lxTE5uRmgzbF8zVnhnQ2xxemF5T2lQWTlCRW52Um9HVjNTcFZHZ2xHc1ZDcjlUbWRmNXZfYWJXcXRBN1ZyVk1NMGlYMEZ3bmVSdDJFNkVBb3V3X0tYbXBqeXlITGZOTEpNaFN1?oc=5"" target=""_blank"">Defence Secretary visits Forward Areas in Bhuj - witnesses Jointness, Infrastructure Development and Capability Building Initiatives</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PIB</font>",https://news.google.com/rss/articles/CBMiaEFVX3lxTE5uRmgzbF8zVnhnQ2xxemF5T2lQWTlCRW52Um9HVjNTcFZHZ2xHc1ZDcjlUbWRmNXZfYWJXcXRBN1ZyVk1NMGlYMEZ3bmVSdDJFNkVBb3V3X0tYbXBqeXlITGZOTEpNaFN1?oc=5
The Hindu,Defence,"More money for defence, now fix the process",2026-02-05,"More money for defence, now fix the processthehindu.com","More money for defence, now fix the processthehindu.com",https://news.google.com/rss/articles/CBMiowFBVV95cUxNUjhRNDVITVB4c0U2STBTdnFzdHdMZUtGQ0x0LWJyb1dROE9NSU9jRFhQX21LWFJoRGl4bWhwc2ZEXzBBMHZkSXllaE9kLUJDbzRCMUlMS1FkZzlyQ1hpNVp1c2RkamtQR3pJbTZmOGl6NkNLbzRlb2pGNjVaTFBUWUJtMlJEd0pVbFhxVlJtS0pqNXJVRF9sZDZycHVjUlR1YW130gGqAUFVX3lxTE4ybTZCNGRmbUdYbzM5blFQVUZrMXl1My1UVU83eDFaMGs3YkZWc1J3ckNwMkYxaWxjVjZ2Y0tCdU1pVTUxbTNMZW40azBIWXJ3aldtNGV0U01hLUJMZjNnY05hTVhtS096cUh5V1pId3RMdzNscFhod3VJNlJ6cWVTVndScWZSTnowVHNxNHhWOURVTUM5Qjd4Z3B2X1Vtc2lrSGJOejlNblFn?oc=5
The Hindu,Defence,DAC to consider Rafale acquisition ahead of Macron visit,2026-02-05,DAC to consider Rafale acquisition ahead of Macron visitthehindu.com,DAC to consider Rafale acquisition ahead of Macron visitthehindu.com,https://news.google.com/rss/articles/CBMitgFBVV95cUxPcUpJUk9HZ05wWHJ2eG5lMDdLVXJhb29UVkxBX21aOTBKaG8xTXMyQmhQRV9jX3AwNmFFakRWSVd3OXhvdVE4NW5ZV25peTMwTVAwQ0tMcG5Tckstc2N4Q3RINUcxRnRaeVhnb04tSl80NGQxYUs3WlNfWF9rX014T1FMTTk5STlSNGU1V0ZiSWE2X1h4OUJzLVpnVzE5REhzMjdHOVh3ZU4zZXZpRzdRZnBxc3R5Z9IBvAFBVV95cUxNU2VPejRGdGMtS3lfX3h0ZklIUl9fY0xrbXA0MnF5RFgzR2NfblVuTXlUaVdjNDdBb0NfNVBLNTFPSHdVYmlKTzh6MnlGUEpiWVRXWG5iQzhfeHZ1blFQN2QyNG1Va1dKbGp4R3YxdXJXTzNXQ2JZTEtQZWJzRGRWbDMtSnpXMW16ZGdzRW1SdTV5b056X1U4bGkwNEdtM3NFaFZUaTJFcHRPNzRPVDhjMVFpbmhESjY1SFFVOA?oc=5
